 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3912.0,Footprints Day Care Centres Pty Ltd,PEARCEDALE,Footprints Day Care Centres  ,1455,145.231,-38.203
3088.0,Briar Hill Primary School,BRIAR HILL,Briar Hill Primary School,1467,145.115,-37.708
3173.0,Gok Engineering Pty Ltd,KEYSBOROUGH,15 LAKEVIEW BOULEVARD ,1468,145.1706992,-38.0042683
3116.0,Sinko Holdings Pty Ltd,CHIRNSIDE PARK,Sinko Holdings  ,1475,145.3088196,-37.7373267
3116.0,Kimberley Place Incorporated,CHIRNSIDE PARK,Kimberley Place,1476,145.3088196,-37.7373267
3976.0,Tender Loving Early Learning Centre Pty Ltd,HAMPTON PARK,LOT 12  ENTERPRISE AVE ,1481,145.2756505,-38.0349647
3976.0,Tender Loving Childcare Centre Pty Ltd,HAMPTON PARK,LOT 12 ENTERPRISE AVE ,1482,145.2756505,-38.0349647
3976.0,Valley Brook Preschool Inc,HAMPTON PARK,2 BROOK COURT ,1483,145.2756505,-38.0349647
3114.0,Park Orchards Kindergarten Inc,PARK ORCHARDS,Park Orchards Kindergarten ,1500,145.2148736,-37.7760752
3793.0,Monbulk Primary School Council,MONBULK,Monbulk Primary School Council,1507,145.4360858,-37.8689357
3141.0,Christ Church Grammar School,SOUTH YARRA,Christ Church Grammar School,1535,144.9914761,-37.838568
3791.0,Complete Early Education Group Pty Ltd,KALLISTA,Complete Early Education Group  ,1537,145.4111713,-37.9051015
3791.0,Kallista Kindergarten Association Inc,KALLISTA,Kallista Kindergarten  ,1538,145.4111713,-37.9051015
3206.0,MIDDLE PARK KINDERGARTEN INC,MIDDLE PARK,131 MILLS STREET ,1563,144.963056,-37.851944
3190.0,Livingston Kindergarten Inc,HIGHETT,Livingston Kindergarten ,1571,145.0410692,-37.9487497
3064.0,Our Lady's Primary School,CRAIGIEBURN,Our Lady's Primary School,1609,144.934,-37.594
3064.0,Willmott Park Primary School Council,CRAIGIEBURN,Willmott Park Primary School Council,1610,144.934,-37.594
3097.0,Kangaroo Ground Primary School Council,KANGAROO GROUND,C/O POST OFFICE ,1617,145.216,-37.686
3099.0,Ferguson Park Preschool Inc,HURSTBRIDGE,Ferguson Park Preschool ,1644,145.195,-37.638889
3099.0,Hurstbridge Primary School OSHC,HURSTBRIDGE,MAIN ROAD ,1645,145.195,-37.638889
3034.0,Wonderkindy House Pty Ltd,AVONDALE HEIGHTS,171 MILITARY ROAD ,1646,144.8648709,-37.7628247
3034.0,Wonderkindy - Avondale Heights Pty Ltd,AVONDALE HEIGHTS,158 MILITARY ROAD ,1647,144.8648709,-37.7628247
3030.0,Carranballac P-9 College School Council,POINT COOK,Carranballac P-9 College School Council,1651,144.7477259,-37.9178086
